Country Name,GDP in 2020
Aruba,2558906304
Africa Eastern and Southern,9.29074E+11
Afghanistan,19955929052
Africa Western and Central,7.87147E+11
Angola,48501561204
Albania,15162734205
Andorra,2891001149
Arab World,2.57655E+12
United Arab Emirates,3.49473E+11
Argentina,3.85741E+11
Armenia,12641698583
American Samoa,721000000
Antigua and Barbuda,1410796296
Australia,1.33038E+12
Austria,4.35049E+11
Azerbaijan,42693000000
Burundi,2649680261
Belgium,5.26022E+11
Benin,15686741884
Burkina Faso,17725010531
Bangladesh,3.73979E+11
Bulgaria,70368758395
Bahrain,34621807713
"Bahamas, The",9958200000
Bosnia and Herzegovina,20226036564
Belarus,61371755326
Belize,2047727810
Bermuda,6887147000
Bolivia,36629843806
Brazil,1.47611E+12
Barbados,4779756550
Brunei Darussalam,12005799654
Bhutan,2457604042
Botswana,14960291106
Central African Republic,2326720900
Canada,1.65568E+12
Central Europe and the Baltics,1.66582E+12
Switzerland,7.41999E+11
Channel Islands,9301349237
Chile,2.54042E+11
China,1.46877E+13
Cote d'Ivoire,63027852805
Cameroon,40773241177
Dem. Rep. Congo,48716961860
Congo,11468688141
Colombia,2.70348E+11
Comoros,1225039197
Cabo Verde,1821565614
Costa Rica,62395610760
Caribbean small states,31378030001
Cuba,1.07352E+11
Curacao,2534327598
Cayman Islands,5655357984
Cyprus,25227189745
Czechia,2.45975E+11
Germany,3.88773E+12
Djibouti,3185150981
Dominica,504214814.8
Denmark,3.54763E+11
Dominican Republic,78844656298
Algeria,1.64873E+11
EaSaint Asia & Pacific (excluding high income),1.74873E+13
Early-demographic dividend,1.0981E+13
EaSaint Asia & Pacific,2.71565E+13
Europe & Central Asia (excluding high income),1.42833E+12
Europe & Central Asia,2.21565E+13
Ecuador,95865472000
"Egypt, Arab Rep.",3.83818E+11
Euro area,1.31552E+13
Eritrea,
Spain,1.27813E+12
Estonia,31330419851
Ethiopia,1.07658E+11
European Union,1.53814E+13
Fragile and conflict affected situations,1.69093E+12
Finland,2.71886E+11
Fiji,4432466220
France,2.64742E+12
Faroe Islands,3262045883
"Micronesia, Fed. Sts.",372000000
Gabon,15314577168
United Kingdom,2.69781E+12
Georgia,16010869216
Ghana,70043095504
Gibraltar,
Guinea,14177835841
"Gambia, The",1812170891
Guinea-Bissau,1520479985
Equatorial Guinea,9893816008
Greece,1.8848E+11
Grenada,1043411111
Greenland,3082884653
Guatemala,77715183063
Guam,5916000000
Guyana,5471256595
High income,5.57911E+13
Hong Kong,3.44943E+11
Honduras,23352232484
Heavily indebted poor countries (HIPC),8.1136E+11
Croatia,58221300898
Haiti,14508222518
Hungary,1.57289E+11
IBRD only,3.01039E+13
IDA & IBRD total,3.25286E+13
IDA total,2.42403E+12
IDA blend,1.00947E+12
Indonesia,1.05905E+12
IDA only,1.41456E+12
Isle of Man,6684225641
India,2.67485E+12
Ireland,4.28609E+11
Iran,2.39735E+11
Iraq,1.80899E+11
Iceland,21629953194
Israel,4.13268E+11
Italy,1.89746E+12
Jamaica,13812421836
Jordan,43700383099
Japan,5.05559E+12
Kazakhstan,1.71082E+11
Kenya,1.00658E+11
Kyrgyz Republic,8270468614
Cambodia,25872797892
Kiribati,222973879.7
Saint Kitts and Nevis,883922222.2
South Korea,1.64431E+12
Kuwait,1.07513E+11
Latin America & Caribbean (excluding high income),4.04682E+12
Lao PDR,18981805250
Lebanon,31712128254
Liberia,3176126340
Libya,65688454972
Saint Lucia,1497825994
Latin America & Caribbean,4.80492E+12
LeaSaint developed countries: UN classification,1.16202E+12
Low income,4.39782E+11
Liechtenstein,6405870210
Sri Lanka,84304298771
Lower middle income,6.08179E+12
Low & middle income,2.94919E+13
Lesotho,2053338465
Late-demographic dividend,2.25312E+13
Lithuania,56964942999
Luxembourg,73699366700
Latvia,34390910339
Macao,25343525936
Saint Martin (French part),
Morocco,1.21354E+11
Monaco,6739645416
Moldova,11530746234
Madagascar,13051441204
Maldives,3712604583
Middle EaSaint & North Africa,3.19908E+12
Mexico,1.12083E+12
Marshall Islands,240751144.4
Middle income,2.90517E+13
North Macedonia,12361036914
Mali,17465392764
Malta,15249999048
Myanmar,79006113643
Middle EaSaint & North Africa (excluding high income),1.32436E+12
Montenegro,4769996866
Mongolia,13312981429
Northern Mariana Islands,858000000
Mozambique,14235420174
Mauritania,8260752385
Mauritius,11408106446
Malawi,12041250084
Malaysia,3.37456E+11
North America,2.29855E+13
Namibia,10583748542
New Caledonia,9454629468
Niger,13744653103
Nigeria,4.32199E+11
Nicaragua,12681548304
Netherlands,9.09793E+11
Norway,3.67633E+11
Nepal,33433659301
Nauru,124685688.2
New Zealand,2.12698E+11
OECD members,5.28529E+13
Oman,75909397659
Other small states,1.78185E+11
Pakistan,3.00426E+11
Panama,57086836900
Peru,2.0141E+11
Philippines,3.61751E+11
Palau,261179138.2
Papua New Guinea,23848445104
Poland,5.99443E+11
Pre-demographic dividend,1.30958E+12
Puerto Rico,1.03131E+11
"Korea, Dem. People's Rep.",
Portugal,2.29032E+11
Paraguay,35432178068
WeSaint Bank and Gaza,15531700000
Pacific island small states,9505064736
Post-demographic dividend,5.00049E+13
French Polynesia,5792545871
Qatar,1.44411E+11
Romania,2.51363E+11
Russian Federation,1.49308E+12
Rwanda,10174387614
South Asia,3.49312E+12
Saudi Arabia,7.34271E+11
Sudan,27034593750
Senegal,24530513038
Singapore,3.49488E+11
Solomon Islands,1536145814
Sierra Leone,4062906266
El Salvador,24921190000
San Marino,1541247884
Somalia,9204140383
Serbia,53356484591
Sub-Saharan Africa (excluding high income),1.71484E+12
Sub-Saharan Africa,1.71622E+12
Small states,2.19068E+11
Sao Tome and Principe,471229484.6
Suriname,2911807496
Slovak Republic,1.06738E+11
Slovenia,53734526854
Sweden,5.47054E+11
Eswatini,3982236694
Sint Maarten (Dutch part),1236428101
Seychelles,1382551752
Syrian Arab Republic,11155888304
Turks and Caicos Islands,774653669.3
Chad,10715396042
EaSaint Asia & Pacific (IDA & IBRD countries),1.74658E+13
Europe & Central Asia (IDA & IBRD countries),3.9008E+12
Togo,7400284168
Thailand,5.00462E+11
Tajikistan,8133963551
Turkmenistan,45818000000
Latin America & the Caribbean (IDA & IBRD countries),4.5613E+12
Timor-Leste,2162619200
Middle EaSaint & North Africa (IDA & IBRD countries),1.30883E+12
Tonga,484796854.9
South Asia (IDA & IBRD),3.49312E+12
Sub-Saharan Africa (IDA & IBRD countries),1.71622E+12
Trinidad and Tobago,20807571314
Tunisia,42491816476
Turkiye,7.20338E+11
Tuvalu,51746594.31
Tanzania,66068737786
Uganda,37600368240
Ukraine,1.56618E+11
Upper middle income,2.29699E+13
Uruguay,53668636568
United States of America,2.1323E+13
Uzbekistan,60224701297
Saint Vincent and the Grenadines,869111111.1
Venezuela,
British Virgin Islands,
Virgin Islands (U.S.),4189000000
Viet Nam,3.46616E+11
Vanuatu,909421043.5
World,8.55777E+13
Samoa,868898358.3
Kosovo,7717145218
"Yemen, Rep.",
South Africa,3.38291E+11
Zambia,18137764931
Zimbabwe,21509698406
