Country Name,Export,Import,GDP
Afghanistan,1,3,19955.92905
Albania,1,3,15162.73421
Algeria,4,655,164873
Angola,5,0,48501.5612
Antigua and Barbuda,1,1,1410.796296
Argentina,215,722,385741
Armenia,1,2,12641.69858
Austria,38,1667,435049
Azerbaijan,2,121,42693
Bahamas,5,2,11250
Bahrain,834,117,34621.80771
Bangladesh,941,1045,373979
Barbados,4,2,4779.75655
Belarus,8,32,61371.75533
Belgium,1020,1972,526022
Belize,0,4,2047.72781
Bermuda,3,0,6887.147
Bhutan,1,1,2457.604042
Bolivia,1,20,36629.84381
Bosnia and Herzegovina,0,20,20226.03656
Botswana,26,1,14960.29111
Brazil,819,845,1476110
Brunei Darussalam,51,1334,12005.79965
Bulgaria,36,106,70368.7584
Burkina Faso,10,0,17725.01053
Burundi,0,1,2649.680261
Cambodia,109,278,25872.79789
Cameroon,1,1,40773.24118
Canada,2092,2562,1655680
Cayman Islands,1,0,5655.357984
Chile,348,592,254042
China,150378,80844,14687700
Colombia,31,108,270348
Dem. Rep. Congo,3,1,48716.96186
Congo,18,129,11468.68814
Costa Rica,4,128,62395.61076
Cote d'Ivoire,81,42,63027.85281
Croatia,4,38,58221.3009
Cuba,1,10,107352
Cyprus,6,36,25227.18975
Czechia,117,744,245975
Greenland,122,1346,3082.884653
Faroe Islands,122,1346,3262.045883
Denmark,122,1346,354763
Djibouti,2,1,3185.150981
Dominican Republic,15,54,78844.6563
Ecuador,12,22,95865.472
Egypt,514,49,383818
El Salvador,7,9,24921.19
Equatorial Guinea,1,0,9893.816008
Estonia,23,212,31330.41985
Ethiopia,6,25,107658
Fiji,407,176,4432.46622
Finland,66,1462,271886
Andorra,1347,6156,2891.001149
Monaco,1347,6156,6739.645416
France,1347,6156,2647420
French Polynesia,59,3,5792.545871
Gabon,27,92,15314.57717
Georgia,44,4,16010.86922
Germany,3557,13693,3887730
Ghana,93,78,70043.0955
Greece,45,347,188480
Guam,12,1,5916
Guatemala,3,27,77715.18306
Guinea,6,0,14177.83584
Guyana,6,1,5471.256595
Haiti,0,3,14508.22252
Honduras,2,79,23352.23248
Hong Kong,6903,736,344943
Hungary,56,930,157289
Iceland,93,13,21629.95319
India,10765,4756,2674850
Indonesia,5770,4849,1059050
Iran,17,26,239735
Iraq,24,0,180899
Ireland,104,1982,428609
Israel,242,797,413268
San Marino,578,6720,1541.247884
Italy,578,6720,1897460
Jamaica,31,2,13812.42184
Japan,52784,19100,5055590
Jordan,164,42,43700.3831
Kazakhstan,24,23,171082
Kenya,79,35,100658
Kiribati,19,0,222.9738797
South Korea,25130,10456,1644310
Kuwait,415,15,107513
Kyrgyzstan,11,0,8270
Laos,28,30,18980
Latvia,18,60,34390.91034
Lebanon,34,22,31712.12825
Lesotho,0,1,2053.338465
Liberia,1,0,3176.12634
Libya,1,737,65688.45497
Lithuania,9,132,56964.943
Luxembourg,15,33,73699.3667
Macau,68,57,2534
Madagascar,19,21,13051.4412
Malaysia,7986,10076,337456
Maldives,48,4,3712.604583
Mali,27,232,17465.39276
